X,Y,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Recovered,Deaths,Active,Admin2,FIPS,Combined_Key
-10.9408,21.0079,385,,Mauritania,2020/12/12 01:27:11+00,21.0079,-10.9408,10501,7957,210,2334,,,Mauritania
57.552152,-20.348404,386,,Mauritius,2020/12/12 01:27:11+00,-20.348404,57.552152,515,478,10,27,,,Mauritius
-102.2916,21.8853,387,Aguascalientes,Mexico,2020/12/12 01:27:11+00,21.8853,-102.2916,15252,0,1200,14052,,,"Aguascalientes, Mexico"
-115.2838,30.8406,388,Baja California,Mexico,2020/12/12 01:27:11+00,30.8406,-115.2838,29198,0,4662,24536,,,"Baja California, Mexico"
-111.6661,26.0444,389,Baja California Sur,Mexico,2020/12/12 01:27:11+00,26.0444,-111.6661,15420,0,703,14717,,,"Baja California Sur, Mexico"
-90.5349,19.8301,390,Campeche,Mexico,2020/12/12 01:27:11+00,19.8301,-90.5349,6932,0,942,5990,,,"Campeche, Mexico"
-93.1292,16.7569,391,Chiapas,Mexico,2020/12/12 01:27:11+00,16.7569,-93.1292,7889,0,1176,6713,,,"Chiapas, Mexico"
-106.0691,28.633,392,Chihuahua,Mexico,2020/12/12 01:27:11+00,28.633,-106.0691,32880,0,4003,28877,,,"Chihuahua, Mexico"
-99.1332,19.4326,393,Ciudad de Mexico,Mexico,2020/12/12 01:27:11+00,19.4326,-99.1332,248976,0,14403,234573,,,"Ciudad de Mexico, Mexico"
-101.7068,27.0587,394,Coahuila,Mexico,2020/12/12 01:27:11+00,27.0587,-101.7068,44282,0,3661,40621,,,"Coahuila, Mexico"
-104.0072,19.1223,395,Colima,Mexico,2020/12/12 01:27:11+00,19.1223,-104.0072,7456,0,767,6689,,,"Colima, Mexico"
-104.6588,24.5593,396,Durango,Mexico,2020/12/12 01:27:11+00,24.5593,-104.6588,22899,0,1371,21528,,,"Durango, Mexico"
